n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error
7,"YR_BUILT, LIVING_AREA, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.3990004937507817,0.558558120006479,-0.19803210735085663,953986.0517816257,1.0,
7,"YR_BUILT, LIVING_AREA, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.3989212919971077,0.5585949231359202,-0.16671301006087735,954879.6969874442,1.0,
5,"LIVING_AREA, BED_RMS, RES_FLOOR, neighborhood_walkability, INT_COND",16000,4000,0.39890727078939947,0.5586014381976446,-0.7994554028622964,989605.9559780478,1.0,
5,"LIVING_AREA, BED_RMS, RES_FLOOR, NUM_PARKING, INT_COND",16000,4000,0.39744001493198033,0.5592827903734673,-0.7988221869513601,992100.7865069121,1.0,
5,"LIVING_AREA, TT_RMS, RES_FLOOR, neighborhood_walkability, INT_COND",16000,4000,0.3973074681557638,0.5593443004773867,-1.1542317506756246,1054765.70230094,1.0,
6,"LAND_SF, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.39725790470949895,0.5593672993198946,-0.07626064067682381,934661.9647301424,1.0,
4,"RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.3970013845630497,0.5594863168226472,0.05355359837679341,919790.698514803,1.0,
4,"BED_RMS, RES_FLOOR, median_hh_income, INT_COND",16000,4000,0.3969203523645676,0.5595239080227881,-0.09771346712110085,933084.8160130042,1.0,
4,"TT_RMS, RES_FLOOR, neighborhood_walkability, INT_COND",16000,4000,0.3967686348238495,0.5595942836799305,-1.2285869502918403,1053572.366432515,1.0,
4,"TT_RMS, RES_FLOOR, NUM_PARKING, INT_COND",16000,4000,0.3962271327114243,0.55984539256738,-1.551618680447643,1065752.630513234,1.0,
7,"LIVING_AREA, TT_RMS, RES_FLOOR, NUM_PARKING, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.39620127754435663,0.5598573794766806,-0.1419976906835887,948977.7694202464,1.0,
6,"LAND_SF, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.3960892497740499,0.559909314552584,-0.09447461781605071,942665.5489533249,1.0,
7,"YR_BUILT, LIVING_AREA, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.3960656541280999,0.5599202526695992,-0.21479166493293134,961467.6594521543,1.0,
8,"YR_BUILT, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.39594560633627385,0.5599758993226073,0.1430633399600002,886030.1753486147,1.0,
7,"YR_BUILT, LAND_SF, LIVING_AREA, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.3957383433675231,0.56007196046746,-0.834495942037095,1002748.8177199863,1.0,
3,"YR_BUILT, RES_FLOOR, INT_COND",16000,4000,0.39540861747663114,0.5602247461347634,0.10236192040716918,944539.5731801521,1.0,
