TOTAL_VALUE,LU,LIVING_AREA,LAND_SF,GROSS_AREA,INT_COND,OVERALL_COND,RES_FLOOR,YR_BUILT,BLDG_TYPE,neighborhood_walkability,emp_dist_m,median_hh_income,neighborhood_name
603400.0,R2,2720.0,5875.0,4636.0,A - Average,A - Average,2.0,1935.0,TF - Two Fam Stack,59.84,7094.467589931276,93452.0,Mattapan
6259100.0,CM,5406.0,2213.0,5406.0,G - Good,A - Average,5.0,1999.0,RM - Row Middle,82.76,520.6302201864302,159141.0,Back Bay
3722700.0,R1,1600.0,1225.0,1952.0,G - Good,G - Good,2.0,1900.0,CV - Conventional,87.35,959.8133259645754,213421.0,Beacon Hill
727800.0,R2,3785.8,3520.0,6082.0,G - Good,G - Good,2.5,1905.0,CV - Conventional,71.27,4095.703490409704,44676.0,Dorchester
785400.0,R2,3292.0,9347.0,5900.0,A - Average,A - Average,2.0,1920.0,CV - Conventional,63.37,6903.564422113643,115906.0,Dorchester
1198200.0,R3,3807.0,4252.0,5634.0,G - Good,A - Average,3.0,1900.0,DK - Decker,70.35,4929.274722304318,59757.0,Dorchester
933600.0,R1,1479.0,3500.0,2308.0,A - Average,A - Average,1.5,1870.0,CV - Conventional,84.31,2654.842331171101,163713.0,Jamaica Plain
922900.0,R3,3636.0,5907.0,6020.0,A - Average,A - Average,3.0,1900.0,DK - Decker,72.47,2278.9180351773416,32288.0,Roxbury
905800.0,R3,3867.0,3551.0,5936.0,A - Average,G - Good,3.0,1905.0,DK - Decker,64.6,2347.8005960156097,32288.0,Roxbury
968100.0,R2,1803.0,1413.0,2541.0,A - Average,A - Average,3.0,1872.0,RM - Row Middle,80.54,2971.186475871465,163713.0,Jamaica Plain
889500.0,R3,3212.8,4389.0,5729.0,A - Average,A - Average,2.0,1910.0,CV - Conventional,64.17,10077.962335997552,110655.0,Hyde Park
996800.0,R2,2386.0,3360.0,3989.0,A - Average,A - Average,2.0,1910.0,TF - Two Fam Stack,83.94,3036.8815028804443,93326.0,Allston
745400.0,R3,2400.0,5135.0,3942.0,A - Average,A - Average,2.0,1910.0,CV - Conventional,65.2,8556.305434862034,93225.0,Hyde Park
601000.0,R1,1660.0,6250.0,2808.0,A - Average,A - Average,2.0,1920.0,CL - Colonial,76.82,7363.995320451329,93452.0,Mattapan
1339500.0,R3,3879.7,5647.0,6560.0,A - Average,A - Average,2.5,1910.0,CV - Conventional,77.79,5543.150436693692,155192.0,Roslindale
434500.0,R1,756.0,3850.0,1656.0,A - Average,A - Average,1.0,1940.0,RN - Ranch,70.02,9161.854332046209,107986.0,West Roxbury
1613900.0,CM,3840.0,5250.0,3840.0,G - Good,G - Good,3.0,1900.0,FS - Free Standing,76.56,2947.231883188183,44963.0,Roxbury
784500.0,R3,4297.0,3276.0,5860.0,A - Average,A - Average,3.0,1900.0,DK - Decker,78.13,3352.868649616284,47691.0,Dorchester
1253400.0,R3,3318.0,7917.0,5028.0,A - Average,A - Average,3.0,1905.0,DK - Decker,76.74,4360.290624709596,62717.0,Dorchester
902000.0,R2,3965.6,3556.0,6073.0,A - Average,A - Average,2.5,1890.0,CV - Conventional,82.45,3827.0185732956047,67594.0,Dorchester
1304700.0,R3,3330.0,3697.0,5196.0,G - Good,G - Good,3.0,1905.0,DK - Decker,85.92,3342.99283387046,92426.0,Dorchester
1131000.0,R3,3126.0,1766.0,4504.0,A - Average,A - Average,3.0,1905.0,DK - Decker,89.44,3529.594152788193,92426.0,Dorchester
782500.0,R1,2050.9,6507.0,3358.0,A - Average,A - Average,2.5,1910.0,CL - Colonial,60.9,5222.629416384096,155192.0,Roslindale
672300.0,R1,1232.0,9312.0,2782.0,A - Average,A - Average,1.0,1959.0,RN - Ranch,44.09,7277.9255123795965,165000.0,West Roxbury
829200.0,R1,1590.0,10342.0,2338.0,A - Average,A - Average,2.0,1925.0,CL - Colonial,46.43,6990.838293995068,154528.0,West Roxbury
931200.0,R1,2635.0,9343.0,4866.0,A - Average,A - Average,1.5,1952.0,CP - Cape,51.2,7076.83328923834,154464.0,West Roxbury
941600.0,R1,1213.0,2156.0,1548.0,G - Good,G - Good,2.0,1910.0,SD - Semi-Det,72.56,1991.295429609524,186174.0,South Boston
683600.0,R3,2916.0,3130.0,4420.0,A - Average,A - Average,2.5,1900.0,CV - Conventional,67.75,3881.029222685921,47691.0,Dorchester
1842900.0,R3,4221.0,3658.0,6093.0,G - Good,G - Good,3.0,1905.0,DK - Decker,77.98,3980.264975531554,129732.0,Dorchester
1548200.0,R3,4422.0,3938.0,6592.0,A - Average,A - Average,3.0,1905.0,DK - Decker,85.09,4156.072055456052,129732.0,Dorchester
1321400.0,R3,3594.0,3002.0,5644.0,A - Average,A - Average,3.0,1905.0,DK - Decker,79.06,4541.805080331516,62717.0,Dorchester
747600.0,R3,2948.0,4682.0,4975.0,A - Average,A - Average,2.5,1910.0,CV - Conventional,71.27,2916.7063468337337,44963.0,Roxbury
1879200.0,CM,3462.0,7831.0,3462.0,E - Excellent,A - Average,3.0,1924.0,DK - Decker,67.38,6521.986839286511,147500.0,Roslindale
438600.0,R1,1548.2,4840.0,2847.0,A - Average,A - Average,1.5,1950.0,CP - Cape,45.18,6417.3102660624045,93452.0,Mattapan
739400.0,R3,3440.4,4000.0,6106.0,A - Average,A - Average,2.0,1935.0,CV - Conventional,77.74,3945.6013851307607,44676.0,Dorchester
810200.0,R2,4173.6,4485.0,6574.0,A - Average,A - Average,2.5,1900.0,CV - Conventional,75.87,3655.705736947768,47691.0,Dorchester
808600.0,R2,2875.5,4638.0,4654.0,A - Average,A - Average,2.5,1890.0,CV - Conventional,74.17,4099.074852464516,67594.0,Dorchester
1102900.0,R1,2403.6,7508.0,3715.0,G - Good,G - Good,2.5,1925.0,CL - Colonial,7.78,7191.532231624508,165000.0,West Roxbury
824600.0,R3,2949.8,6600.0,4817.0,A - Average,A - Average,2.0,1920.0,CV - Conventional,61.1,9010.676559720458,93225.0,Hyde Park
579000.0,R2,2188.0,4200.0,3656.0,A - Average,A - Average,2.0,1905.0,TF - Two Fam Stack,57.8,6993.915904535157,93452.0,Mattapan
739700.0,R1,1668.15,7643.0,2965.0,A - Average,A - Average,1.0,1954.0,SL - Split Level,37.68,7020.279441203818,154528.0,West Roxbury
1084200.0,R3,4392.0,3320.0,6978.0,G - Good,A - Average,3.0,1900.0,DK - Decker,81.24,3904.783743719217,37198.0,Dorchester
1575300.0,R3,3549.0,4221.0,5276.0,G - Good,A - Average,3.0,1900.0,DK - Decker,82.66,3850.392308358779,129732.0,Dorchester
1759500.0,CM,3261.0,4185.0,3261.0,G - Good,G - Good,3.0,1911.0,DK - Decker,87.74,3774.400766074994,67594.0,Dorchester
1296600.0,R1,2544.0,2954.0,3800.0,A - Average,A - Average,2.5,1895.0,SD - Semi-Det,83.29,2493.6134145557894,163713.0,Jamaica Plain
799200.0,R1,2061.6,4282.0,3652.0,A - Average,A - Average,2.0,1890.0,CL - Colonial,87.27,4315.606438722661,129732.0,Dorchester
1107500.0,R3,4258.0,2408.0,6084.0,G - Good,G - Good,3.0,1905.0,DK - Decker,75.09,2599.9597551576016,60720.0,Roxbury
714900.0,R1,1481.1,3978.0,2857.0,A - Average,A - Average,1.5,1905.0,CV - Conventional,56.91,4987.850936625583,79464.0,Roslindale
845800.0,R1,1974.4,6122.0,3352.0,G - Good,A - Average,2.0,1935.0,CL - Colonial,45.19,7471.046182567667,165000.0,West Roxbury
1320800.0,R2,2491.0,1198.0,3299.0,G - Good,G - Good,3.0,1860.0,CV - Conventional,78.46,1941.9639691957,84176.0,South Boston
876100.0,R1,1440.0,2156.0,1920.0,A - Average,A - Average,3.0,1890.0,SD - Semi-Det,72.56,1991.152151414728,186174.0,South Boston
880900.0,R3,3674.4,4500.0,6127.0,G - Good,A - Average,2.5,1900.0,CV - Conventional,77.77,3764.436389227965,47691.0,Dorchester
850500.0,R1,1706.0,3268.0,3449.0,A - Average,A - Average,2.0,1890.0,CL - Colonial,82.38,4189.956787409514,129732.0,Dorchester
1460200.0,CM,2375.0,1859.0,2375.0,G - Good,G - Good,3.0,1900.0,RE - Row End,87.8,4354.259000766248,89265.0,Dorchester
1746100.0,R3,4290.0,3827.0,6656.0,G - Good,G - Good,3.0,1905.0,DK - Decker,92.95,3848.410586881999,129732.0,Dorchester
792300.0,R1,1737.0,4000.0,2767.0,G - Good,A - Average,2.0,1935.0,CL - Colonial,70.54,7127.321315589549,147500.0,Roslindale
1609000.0,R3,2943.0,1875.0,4381.0,A - Average,A - Average,3.0,1890.0,DK - Decker,82.81,1809.7312836965573,162426.0,South Boston
964300.0,R3,3330.0,2451.0,4853.0,A - Average,A - Average,3.0,1890.0,RE - Row End,75.77,3811.139466609901,47691.0,Dorchester
755100.0,R2,2200.0,6600.0,3692.0,A - Average,A - Average,2.0,1920.0,TF - Two Fam Stack,58.04,8136.986612155495,93225.0,Hyde Park
809800.0,R1,1708.0,7040.0,2970.0,A - Average,A - Average,2.0,1950.0,CL - Colonial,39.71,6873.631520269961,154528.0,West Roxbury
706400.0,R1,1336.8,5200.0,2592.0,A - Average,A - Average,1.5,1960.0,CP - Cape,38.27,6812.714828494171,154528.0,West Roxbury
1281700.0,R3,3519.0,2711.0,5580.0,G - Good,A - Average,3.0,1905.0,DK - Decker,76.71,3862.9367224265584,67594.0,Dorchester
1419800.0,R3,3921.0,3362.0,5897.0,A - Average,A - Average,3.0,1905.0,DK - Decker,73.5,4118.913518660338,67594.0,Dorchester
1954900.0,CM,3475.0,3200.0,3475.0,A - Average,G - Good,2.5,1900.0,FS - Free Standing,76.66,4393.031222236182,62717.0,Dorchester
1356900.0,R3,3534.0,3473.0,5552.0,A - Average,A - Average,3.0,1905.0,DK - Decker,87.74,3741.5778545846906,129732.0,Dorchester
971000.0,R3,3834.0,4375.0,5562.0,A - Average,A - Average,3.0,1905.0,DK - Decker,74.0,6178.284323813124,74679.0,Dorchester
1713700.0,R3,3993.0,4000.0,5897.0,G - Good,G - Good,3.0,1905.0,DK - Decker,83.41,1036.7534417781517,89253.0,Mission Hill
705100.0,R1,1752.0,5000.0,2864.0,A - Average,A - Average,2.0,1920.0,CL - Colonial,72.72,6210.578552466177,154464.0,West Roxbury
592400.0,R2,1784.2,11863.0,3748.0,A - Average,A - Average,1.5,1915.0,CV - Conventional,59.23,7093.40271936383,93452.0,Mattapan
321800.0,R1,1107.0,7440.0,2317.0,F - Fair,F - Fair,1.0,1950.0,RR - Raised Ranch,56.56,7018.125772666583,93452.0,Mattapan
7861516.000000009,CM,7534.999999999956,3735.0,9121.200000000012,G - Good,A - Average,5.0,1999.0,RM - Row Middle,84.63,311.0175198500173,164716.0,Back Bay
1612900.0,CM,2524.0,1923.0,2524.0,G - Good,A - Average,3.0,1999.0,RM - Row Middle,73.24,2090.0012832069683,84176.0,South Boston
586300.0,R1,1209.0,5018.0,2558.0,A - Average,A - Average,1.0,1949.0,RN - Ranch,55.31,6796.4733022135215,115906.0,Dorchester
724600.0,R2,3269.4,5311.0,5805.0,A - Average,A - Average,2.0,1935.0,CV - Conventional,58.81,6718.967684651896,115906.0,Dorchester
1033400.0,R3,3495.0,2540.0,4674.0,G - Good,A - Average,3.0,1890.0,RE - Row End,75.77,3795.50433211525,47691.0,Dorchester
7861516.000000009,CM,7534.999999999956,14688.0,9121.200000000012,E - Excellent,G - Good,3.0,2019.0,LR - Low Rise,75.2,4114.899291623981,129732.0,Dorchester
900300.0,R1,3053.5,5539.0,4714.0,A - Average,A - Average,2.5,1885.0,CL - Colonial,80.69,4345.789490760861,67594.0,Dorchester
560000.0,R1,2236.8,5580.0,4043.0,A - Average,A - Average,2.0,1905.0,CL - Colonial,71.19,4391.422984333504,74160.0,Dorchester
1018000.0,R1,2714.0,5555.0,4738.0,G - Good,G - Good,2.0,2005.0,CL - Colonial,65.09,10517.749666386817,128673.0,Hyde Park
711700.0,R2,2436.0,2187.0,3690.0,A - Average,A - Average,2.0,1900.0,TF - Two Fam Stack,79.55,3515.583391497332,65662.0,East Boston
739600.0,R1,1515.0,5500.0,2460.0,A - Average,A - Average,2.0,1928.0,CL - Colonial,62.03,5908.149872963883,140000.0,West Roxbury
606300.0,R3,3186.0,3272.0,4468.0,A - Average,A - Average,3.0,1920.0,DK - Decker,79.15,2648.6853094212074,58000.0,Roxbury
1439900.0,CM,2832.0,2913.0,2832.0,G - Good,A - Average,3.0,1999.0,DK - Decker,80.64,4279.111493816962,67594.0,Dorchester
1348000.0,R3,3975.0,3600.0,5999.0,A - Average,A - Average,3.0,1900.0,DK - Decker,77.89,4558.096497247225,62717.0,Dorchester
689500.0,R1,2188.0,5350.0,3392.0,G - Good,A - Average,2.0,1940.0,CL - Colonial,63.63,7063.562027498096,114034.0,Mattapan
1185700.0,R3,4329.0,3331.0,6702.0,A - Average,A - Average,3.0,1920.0,DK - Decker,81.24,3896.697837752653,37198.0,Dorchester
819700.0,R2,3002.4,2500.0,4423.0,A - Average,A - Average,2.5,1900.0,CV - Conventional,91.65,3559.2141866660068,111192.0,East Boston
657600.0,R2,2240.0,4524.0,3558.0,G - Good,A - Average,2.0,1900.0,TF - Two Fam Stack,69.18,4390.344762931831,74160.0,Dorchester
2263800.0,CM,4396.0,4014.0,4396.0,G - Good,A - Average,3.0,1898.0,FS - Free Standing,85.09,4156.83986296578,129732.0,Dorchester
965500.0,R1,1688.0,6198.0,2832.0,G - Good,G - Good,2.0,1935.0,CL - Colonial,44.0,5938.439315673334,140000.0,West Roxbury
464100.0,R2,3537.6,3850.0,5396.0,A - Average,A - Average,2.5,1905.0,CV - Conventional,67.77,3768.8541559558143,47691.0,Dorchester
788700.0,R1,1666.5,3673.0,1694.0,A - Average,A - Average,2.0,1985.0,RE - Row End,92.95,3873.61945434909,129732.0,Dorchester
654800.0,R1,1353.6,5640.0,2640.0,A - Average,A - Average,1.5,1945.0,CP - Cape,35.0,6816.148603556412,154528.0,West Roxbury
696100.0,R2,2448.0,4502.0,4164.0,A - Average,A - Average,2.0,1920.0,TF - Two Fam Stack,73.69,5526.855800213273,97540.0,Roslindale
999900.0,R3,2883.2,5504.0,5054.0,A - Average,A - Average,2.0,1920.0,CV - Conventional,77.79,5551.030859509887,155192.0,Roslindale
7861516.000000009,CM,7534.999999999956,13500.0,9121.200000000012,G - Good,A - Average,4.0,2014.0,FS - Free Standing,81.75,1914.7927652381984,167250.0,South Boston
1624700.0,R3,4011.0,4675.0,5688.0,G - Good,A - Average,3.0,1905.0,DK - Decker,87.12,4383.8287679910645,62717.0,Dorchester
1122400.0,R2,2601.1,1606.0,3283.0,G - Good,G - Good,2.5,1880.0,CV - Conventional,77.63,3470.9707880901,142885.0,Jamaica Plain
1417800.0,R3,2829.2,3992.0,4350.0,A - Average,A - Average,2.5,1905.0,CV - Conventional,78.48,3009.5729531559987,163713.0,Jamaica Plain
383600.0,R1,1876.0,3835.0,2890.0,G - Good,G - Good,2.5,1970.0,SD - Semi-Det,70.44,3786.198162984252,47691.0,Dorchester
635700.0,R2,2770.8,5000.0,5076.0,A - Average,A - Average,2.0,1910.0,CV - Conventional,60.72,6580.187624361201,48667.0,Mattapan
586000.0,R1,1374.0,4000.0,2220.0,A - Average,A - Average,2.0,1911.0,CL - Colonial,79.98,5692.441536329294,97540.0,Roslindale
620100.0,R2,2808.0,4205.0,5148.0,F - Fair,A - Average,2.0,1925.0,CV - Conventional,83.49,5123.047543271829,59757.0,Dorchester
1031500.0,R3,4218.0,5472.0,6731.0,G - Good,A - Average,2.5,1890.0,CV - Conventional,79.74,5449.430203827925,107273.0,Dorchester
615100.0,R2,2592.0,4577.0,4842.0,A - Average,A - Average,2.0,1900.0,CV - Conventional,71.27,2905.499889846396,44963.0,Roxbury
1062800.0,R1,1861.6,10800.0,3090.0,G - Good,G - Good,2.0,1900.0,CL - Colonial,66.56,6573.140531696828,154464.0,West Roxbury
838000.0,R2,2426.0,5225.0,4030.0,A - Average,A - Average,2.0,1920.0,TF - Two Fam Stack,72.28,6411.937625251249,154464.0,West Roxbury
793400.0,R1,1330.0,5900.0,3199.0,G - Good,A - Average,1.0,1940.0,CP - Cape,53.58,5843.802039092439,140000.0,West Roxbury
951200.0,R1,1860.0,5514.0,2855.0,G - Good,G - Good,2.0,2000.0,CL - Colonial,54.16,4705.03318492634,79464.0,Roslindale
746600.0,R2,2851.2,3024.0,5064.0,A - Average,A - Average,2.0,1905.0,CV - Conventional,73.05,3493.266148704349,60962.0,Dorchester
1254200.0,R3,3153.0,3361.0,4828.0,G - Good,A - Average,3.0,1900.0,DK - Decker,76.74,4397.013456863774,62717.0,Dorchester
1248400.0,R3,3237.0,2304.0,4952.0,A - Average,A - Average,3.0,1905.0,DK - Decker,83.99,4244.627615221408,129732.0,Dorchester
844200.0,R3,2652.0,4536.0,4142.0,A - Average,A - Average,3.0,1905.0,DK - Decker,59.62,4347.208166297917,41817.0,Dorchester
1193800.0,R3,3096.0,3704.0,4905.0,A - Average,A - Average,3.0,1920.0,DK - Decker,79.01,4191.777783936228,62717.0,Dorchester
752300.0,R1,1392.0,1110.0,2218.0,A - Average,A - Average,2.0,1890.0,RM - Row Middle,78.63,3075.7943138088144,163713.0,Jamaica Plain
861600.0,R1,1820.0,5393.0,3171.0,G - Good,G - Good,2.0,1940.0,CL - Colonial,64.0,6315.93350118288,154464.0,West Roxbury
725000.0,R2,1836.0,3410.0,3216.0,A - Average,A - Average,2.0,1890.0,TF - Two Fam Stack,82.45,3787.816912875055,67594.0,Dorchester
