n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error,balanced_holdout_score
6,"LIVING_AREA, LAND_SF, INT_COND, YR_BUILT, neighborhood_walkability, neighborhood_name",55188,13797,0.7805686845886582,0.2841033635230206,0.8040453026001462,284481.90655631537,1.0,,
6,"LAND_SF, INT_COND, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8171613279447173,0.25933498086489615,0.803422462662081,247993.13048720444,1.0,,
6,"LU, LAND_SF, GROSS_AREA, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7804067971709723,0.28420814410100137,0.8033878776393794,276002.2371228848,1.0,,
5,"LU, GROSS_AREA, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7794678376518561,0.2848151193630956,0.8021988024269058,277067.2820203491,1.0,,
6,"LIVING_AREA, GROSS_AREA, YR_BUILT, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7734199310742418,0.28869411067080913,0.8016501065874672,283293.6351623153,1.0,,
5,"LU, GROSS_AREA, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.7561916068192733,0.29946867306456776,0.8014308489781313,281813.3806610835,1.0,,
6,"LIVING_AREA, INT_COND, BLDG_TYPE, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.767386897367414,0.2925123178226888,0.801414529364552,288069.5347528287,1.0,,
6,"LU, GROSS_AREA, INT_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.7819498312803792,0.28320784910093605,0.8014088389040732,273843.642758353,1.0,,
6,"LU, LIVING_AREA, OVERALL_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.7608890567882542,0.2965697140411207,0.8010073192899135,285878.721865334,1.0,,
4,"LIVING_AREA, INT_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7781462510490331,0.2856672526735585,0.7999931103711599,287915.14942317107,1.0,,
6,"LIVING_AREA, INT_COND, OVERALL_COND, YR_BUILT, neighborhood_walkability, neighborhood_name",55188,13797,0.7760389359339251,0.28702077530632725,0.7999709104223833,288194.15952584817,1.0,,
6,"LIVING_AREA, GROSS_AREA, RES_FLOOR, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7725508834261005,0.28924722381151446,0.7999294462207439,285560.9898867871,1.0,,
6,"LIVING_AREA, GROSS_AREA, BLDG_TYPE, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7725335288270094,0.28925825852981396,0.7998910290346377,285578.56870330946,1.0,,
6,"LIVING_AREA, GROSS_AREA, INT_COND, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7725893812719888,0.2892227439048754,0.7998874793799847,285548.7597666322,1.0,,
6,"LIVING_AREA, GROSS_AREA, OVERALL_COND, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7725567204368531,0.2892435123220766,0.7998731164109065,285571.897194485,1.0,,
6,"LU, LIVING_AREA, GROSS_AREA, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7725253633389465,0.2892634503140105,0.7998707743469725,285587.1327141319,1.0,,
5,"LIVING_AREA, GROSS_AREA, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7725141626502192,0.2892705717892494,0.7998626837447083,285593.90631870035,1.0,,
5,"LIVING_AREA, LAND_SF, INT_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7776595120139385,0.28598045274791517,0.7996456875597818,288171.1626030083,1.0,,
6,"LIVING_AREA, YR_BUILT, neighborhood_walkability, emp_dist_m, median_hh_income, neighborhood_name",55188,13797,0.7766892513139514,0.28660376148480954,0.7956109937260831,282847.273024643,1.0,,
6,"LIVING_AREA, LAND_SF, OVERALL_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.779981383626178,0.2844833062916848,0.7954391459879285,289582.1531154254,1.0,,
5,"LIVING_AREA, INT_COND, OVERALL_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7727228889298039,0.28913783335787047,0.7946503893376986,292259.46079835214,1.0,,
6,"LU, GROSS_AREA, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7463995202686398,0.30542325938586196,0.7945799579805306,296044.8277197434,1.0,,
6,"LU, LIVING_AREA, INT_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.7537594988135532,0.30095863976336634,0.7944477818869884,290089.7438073641,1.0,,
6,"LIVING_AREA, LAND_SF, INT_COND, OVERALL_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7723069316706462,0.28940229906241255,0.7943603671232045,292470.982672713,1.0,,
5,"LU, GROSS_AREA, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.7625387693749996,0.29554487261488105,0.7937519012340026,281612.4201607406,1.0,,
6,"LIVING_AREA, GROSS_AREA, INT_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7587086945128143,0.297918799110938,0.7934659618062948,294340.4563792696,1.0,,
6,"LU, LAND_SF, GROSS_AREA, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.7658998390621767,0.29344582046296236,0.7930044483730785,280254.23207063176,1.0,,
6,"LU, GROSS_AREA, RES_FLOOR, YR_BUILT, neighborhood_walkability, neighborhood_name",55188,13797,0.7660705613760656,0.2933388002748879,0.7929833747999125,281595.64489796094,1.0,,
6,"LIVING_AREA, GROSS_AREA, OVERALL_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7653904445480102,0.29376491136647903,0.7927771282821945,293452.77051849035,1.0,,
6,"LIVING_AREA, LAND_SF, GROSS_AREA, neighborhood_walkability, median_hh_income, neighborhood_name",55188,13797,0.7590954050933496,0.2976799704701334,0.7914363925590511,291824.3218096385,1.0,,
6,"LAND_SF, RES_FLOOR, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7932694771387669,0.2757587956395795,0.7894396522701431,268009.5983552692,1.0,,
5,"LIVING_AREA, LAND_SF, OVERALL_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7680811447071842,0.292075481621945,0.7889339534115205,299090.56099675875,1.0,,
6,"LU, LIVING_AREA, GROSS_AREA, INT_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7511329480125774,0.3025594860437944,0.7883174351115871,297247.7340526499,1.0,,
6,"LU, LIVING_AREA, GROSS_AREA, OVERALL_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7572933016388476,0.2987913037767118,0.7877990818743041,296711.9463339109,1.0,,
6,"LAND_SF, OVERALL_COND, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8068134310234616,0.2665726177790124,0.7864892055198964,256677.66550515205,1.0,,
5,"LAND_SF, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7916669042669859,0.2768255718848196,0.7862835411273874,269252.1440049678,1.0,,
6,"GROSS_AREA, INT_COND, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7699477554674456,0.29089771478414156,0.7858316916440786,292818.8384417989,1.0,,
6,"LU, GROSS_AREA, OVERALL_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.7748879410316011,0.28775736781795214,0.7849587796172016,283877.86840302456,1.0,,
6,"GROSS_AREA, RES_FLOOR, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7496085892164113,0.3034846891111593,0.7823934496330158,300736.5255782909,1.0,,
5,"LU, LIVING_AREA, OVERALL_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7445828994407712,0.3065152292771946,0.7823117063027154,303890.2975854689,1.0,,
6,"LIVING_AREA, GROSS_AREA, INT_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.7523877700212707,0.30179574877583504,0.7814565746050435,297893.78201420873,1.0,,
6,"LAND_SF, INT_COND, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7948074417387481,0.27473113172578373,0.7808826859581599,264921.6691437909,1.0,,
6,"LIVING_AREA, GROSS_AREA, OVERALL_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.755942575595201,0.29962157595546923,0.7794038967662229,299365.90365056245,1.0,,
6,"LIVING_AREA, LAND_SF, neighborhood_walkability, emp_dist_m, median_hh_income, neighborhood_name",55188,13797,0.7688855723109441,0.2915684989705081,0.7791069530767505,296516.3782651648,1.0,,
6,"LIVING_AREA, RES_FLOOR, neighborhood_walkability, emp_dist_m, median_hh_income, neighborhood_name",55188,13797,0.7678446170465544,0.2922243835408609,0.7789178924473856,296856.13673862576,1.0,,
6,"LIVING_AREA, INT_COND, neighborhood_walkability, emp_dist_m, median_hh_income, neighborhood_name",55188,13797,0.7678446064350976,0.29222439021941893,0.7789178610525419,296856.14977234445,1.0,,
6,"LU, LIVING_AREA, neighborhood_walkability, emp_dist_m, median_hh_income, neighborhood_name",55188,13797,0.7678445996534272,0.29222439448761495,0.778917852569038,296856.15826860035,1.0,,
6,"LIVING_AREA, OVERALL_COND, neighborhood_walkability, emp_dist_m, median_hh_income, neighborhood_name",55188,13797,0.7678445958890499,0.29222439685681006,0.7789178517950828,296856.1589589145,1.0,,
6,"LIVING_AREA, BLDG_TYPE, neighborhood_walkability, emp_dist_m, median_hh_income, neighborhood_name",55188,13797,0.7678445932535173,0.2922243985155415,0.7789178514166921,296856.16161493474,1.0,,
5,"LIVING_AREA, neighborhood_walkability, emp_dist_m, median_hh_income, neighborhood_name",55188,13797,0.7678445893801485,0.29222440095333274,0.7789178482635591,296856.163857287,1.0,,
